card_id,rt
130520,83
130521,62
130522,66
130523,74
130524,90
130525,60
130526,46
130527,78
130528,35
130529,66
130530,78
130531,50
130532,63
130533,65
130534,68
130535,58
130536,55
130537,76
130538,71
130539,81
130540,75
130541,62
130542,58
130543,75
130544,67
130545,76
130546,70
130547,65
130548,45
130549,56
130550,48
130551,61
130552,52
130553,67
130554,16
130555,57
130556,76
130557,63
130558,67
130559,60
130560,45
130561,60
130562,19
130563,63
130564,56
130565,64
130566,62
130567,60
130568,58
130569,54
130570,29
130571,71
130572,73
130573,75
130574,66
130575,67
130576,63
130577,72
130578,32
130579,70
130580,73
130581,80
130582,48
130583,60
130584,69
130585,66
130586,48
130589,61
130590,71
130591,75
130592,70
130593,50
130594,77
130595,33
130596,65
130598,77
130599,54
130600,68
130601,60
130602,61
130603,69
130604,64
130605,46
130606,65
130607,58
130608,69
130610,72
130611,60
130612,65
130613,80
130614,69
130615,58
130616,64
130617,61
130618,70
130619,56
130620,47
130621,57
130622,48
130623,69
130624,70
130625,33
130626,66
130627,67
130628,63
130629,65
130630,30
130631,39
130632,37
130633,61
130634,55
130635,50
130636,66
130637,50
130638,66
130639,38
130640,53
130641,75
130642,49
130643,66
130644,72
130645,75
130646,40
130647,41
130648,66
130649,60
130650,52
130651,41
130652,65
130653,60
130654,52
130655,61
130656,56
130657,50
130658,37
130659,57
130660,53
130661,47
130662,48
130663,49
130664,59
130665,30
130666,17
130667,55
130668,62
130669,59
130670,55
130671,60
130672,55
130673,50
130674,29
130675,49
130676,47
130677,57
130678,47
130679,55
130680,59
130681,23
130682,67
130683,34
130684,51
130685,87
130686,75
130687,80
130688,31
130689,39
130690,55
130691,70
130692,82
130693,63
130694,75
130695,null
130696,48
130697,82
130698,76
130699,82
130700,null
130701,63
130702,67
130703,77
130704,75
130705,65
130706,76
130707,59
130708,65
130709,64
130710,55
130711,null
130712,62
130713,null
130714,65
130715,65
130716,null
130717,76
130718,60
130719,65
130720,81
130721,79
130722,51
130723,77
130724,73
130725,53
130726,72
130727,null
130728,95
130729,80
130730,90
130731,65
130732,54
130733,79
130734,62
130735,null
130736,75
130737,null
130738,57
130739,69
130740,35
130741,62
130742,57
130743,61
130744,84
130745,57
130746,74
130747,60
130748,null
130749,82
130750,61
130751,48
130752,34
130753,61
130754,85
130755,67
130756,null
130757,null
130758,48
130759,68
130760,70
130761,83
130762,61
130763,null
130764,73
130765,null
130766,null
130767,null
130768,56
130769,76
130770,70
130771,77
130772,null
130773,73
130774,70
130775,54
130776,60
130777,61
130778,55
130779,null
130780,89
130781,69
130782,null
130783,null
130784,null
130785,66
130786,52
130787,null
130788,68
130789,69
130790,65
130791,64
130792,null
130793,66
130794,37
130795,null
130796,76
130797,75
130798,55
130799,null
130800,82
130801,73
130802,63
130803,67
130804,35
130805,null
130806,55
130807,70
130808,75
130809,80
130810,67
130811,72
130812,88
130813,64
130814,80
130815,71
130816,66
130817,64
130818,64
130819,70
130820,71
130821,61
130822,66
130823,72
130824,46
130825,67
130826,51
130827,62
130828,55
130829,53
130830,43
130831,63
130832,61
130833,null
130834,69
130835,44
130836,null
130837,83
130838,64
130839,65
130840,30
130841,69
130842,49
130843,80
130844,null
130845,null
130846,null
130847,null
130848,64
130849,67
130850,null
130851,76
130852,null
130853,60
130854,75
130855,90
130856,64
130857,null
130858,null
130859,49
130860,52
130861,null
130862,68
130863,56
130864,null
130865,80
130866,57
130867,85
130868,null
130869,88
130870,59
130871,84
130872,null
130873,73
130874,65
130875,79
130876,null
130877,58
130878,null
130879,48
130880,63
130881,67
130882,64
130883,65
130884,61
130885,74
130886,61
130887,69
130888,42
130889,69
130890,63
130891,77
130892,84
130893,55
130894,58
130895,69
130896,59
130897,null
130898,64
130899,58
130900,null
130901,null
130902,49
130903,null
130904,67
130905,null
130906,null
130907,57
130908,null
130909,null
130910,62
130911,null
130912,55
130913,68
130914,88
130915,null
130916,63
130917,71
130918,47
130919,null
130920,81
130921,80
130922,54
130923,48
130924,58
130925,35
130926,67
130927,66
130928,65
130929,65
130930,60
130931,76
130932,null
130933,76
130934,62
130935,51
130936,61
130937,70
130938,47
130939,80
130940,68
130941,67
130942,null
130943,64
130944,62
130945,null
130946,29
130947,80
