api_player_id,season_year,position,source,classified_date
22236,2024,ST,cmbug-modal,2026-07-09
400948,2024,Winger,cmbug-default,2026-07-09
30488,2024,ST,cmbug-modal,2026-07-09
30542,2024,Winger,cmbug-modal,2026-07-09
347265,2024,Winger,cmbug-default,2026-07-09
22015,2024,ST,cmbug-modal,2026-07-09
133729,2024,ST,cmbug-modal,2026-07-09
135519,2024,Winger,cmbug-modal,2026-07-09
263699,2024,Winger,cmbug-modal,2026-07-09
56396,2024,ST,cmbug-modal,2026-07-09
191979,2024,Winger,cmbug-modal,2026-07-09
432057,2024,Winger,cmbug-default,2026-07-09
6662,2024,Winger,cmbug-default,2026-07-09
8643,2024,CAM,cmbug-modal,2026-07-09
47182,2024,Winger,cmbug-modal,2026-07-09
